principio_ativo_limpo,categoria_terapeutica,total_produtos_registrados,produtos_principais,empresas_principais,popularidade_mercado,diversidade_formulacoes,texto_completo_busca,texto_resumo_busca
Alfasimoctocogue,Outros,1,Nuwiq,02552927000160 - OCTAPHARMA BRASIL LTDA,baixa,baixa,Medicamento: Alfasimoctocogue | Principio Ativo:  ALFASIMOCTOCOGUE | Classe Terapeutica: ANTI-HEMORRAGICOS | Categoria: Outros | Produtos Comerciais: Nuwiq | Total de Produtos: 1,Alfasimoctocogue - Outros
Acetato De Hidroxocobalamina Citidina 5 -Monofosfato Dissodico Fosfato Dissodico De Citidina Uridina-5 -Trifosfato Trissodica Trifosfato Trissodico De Uridina,Outros,1,ETNA,33145194000172 - LABORATÓRIO GROSS S. A.,baixa,baixa,Medicamento: Acetato De Hidroxocobalamina Citidina 5 -Monofosfato Dissodico Fosfato Dissodico De Citidina Uridina-5 -Trifosfato Trissodica Trifosfato Trissodico De Uridina | Principio Ativo: ACETATO DE HIDROXOCOBALAMINA +  CITIDINA 5''-MONOFOSFATO DISSÓDICO +  FOSFATO DISSÓDICO DE CITIDINA +  URIDINA-5''-TRIFOSFATO TRISSÓDICA +  TRIFOSFATO TRISSÓDICO DE URIDINA | Classe Terapeutica: OUTROS ANTIANEMICOS | Categoria: Outros | Produtos Comerciais: ETNA | Total de Produtos: 1,Acetato De Hidroxocobalamina Citidina 5 -Monofosfato Dissodico Fosfato Dissodico De Citidina Uridina-5 -Trifosfato Trissodica Trifosfato Trissodico De Uridina - Outros
Acetato De Icatibanto,Outros,2,FIRAZYR; acetato de icatibanto,60397775000174 - TAKEDA PHARMA LTDA.; 18268051000164 - CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,baixa,baixa,Medicamento: Acetato De Icatibanto | Principio Ativo: ACETATO DE ICATIBANTO | Classe Terapeutica: OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF | Categoria: Outros | Produtos Comerciais: FIRAZYR; acetato de icatibanto | Total de Produtos: 2,Acetato De Icatibanto - Outros
Acetato De Indacaterol Brometo De Glicopirronio Furoato De Mometasona,Respiratorio,1,ENERZAIR,56994502000130 - NOVARTIS BIOCIENCIAS S.A,baixa,baixa,Medicamento: Acetato De Indacaterol Brometo De Glicopirronio Furoato De Mometasona | Principio Ativo: ACETATO DE INDACATEROL +  BROMETO DE GLICOPIRRÔNIO +  FUROATO DE MOMETASONA | Classe Terapeutica: ANTIASMATICOS | Categoria: Respiratorio | Produtos Comerciais: ENERZAIR | Total de Produtos: 1,Acetato De Indacaterol Brometo De Glicopirronio Furoato De Mometasona - Respiratorio
Acetato De Indacaterol Furoato De Mometasona,Outros,1,ATECTURA,56994502000130 - NOVARTIS BIOCIENCIAS S.A,baixa,baixa,Medicamento: Acetato De Indacaterol Furoato De Mometasona | Principio Ativo: ACETATO DE INDACATEROL +  FUROATO DE MOMETASONA | Classe Terapeutica: ADRENÉRGICOS E OUTROS AGENTES PARA DOENÇA OBSTRUTIVA DAS VIAS AÉREAS | Categoria: Outros | Produtos Comerciais: ATECTURA | Total de Produtos: 1,Acetato De Indacaterol Furoato De Mometasona - Outros
Acetato De Lanreotida,Endocrino,1,SOMATULINE AUTOGEL,07718721000180 - BEAUFOUR IPSEN FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Acetato De Lanreotida | Principio Ativo: ACETATO DE LANREOTIDA | Classe Terapeutica: HORMONIO HIPOTALAMICO-ANALOGO DA SOMATOSTATINA | Categoria: Endocrino | Produtos Comerciais: SOMATULINE AUTOGEL | Total de Produtos: 1,Acetato De Lanreotida - Endocrino
Acetato De Leuprorrelina,Outros,3,ELIGARD; LECTRUM; LUPRON,55980684000127 - ZODIAC PRODUTOS FARMACÊUTICOS S/A; 61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA; 15800545000150 - ABBVIE FARMACÊUTICA LTDA.,baixa,media,Medicamento: Acetato De Leuprorrelina | Principio Ativo: ACETATO DE LEUPRORRELINA | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: ELIGARD; LECTRUM; LUPRON | Total de Produtos: 3,Acetato De Leuprorrelina - Outros
Acetato De Lisina Acetato De Sodio Tri-Hidratado Acetato De Sodio Trihidratado Alanina Arginina Cloreto De Calcio Di-Hidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Fenilalamina Glicerofosfato De Sodio Glicina Glicose Monohidratada Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Prolina Serina,Outros,1,OLIMEL,49351786000261 - BAXTER HOSPITALAR LTDA,baixa,baixa,Medicamento: Acetato De Lisina Acetato De Sodio Tri-Hidratado Acetato De Sodio Trihidratado Alanina Arginina Cloreto De Calcio Di-Hidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Fenilalamina Glicerofosfato De Sodio Glicina Glicose Monohidratada Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Prolina Serina | Principio Ativo: ACETATO DE LISINA +  ACETATO DE SÓDIO TRI-HIDRATADO  +  ACETATO DE SÓDIO TRIHIDRATADO +  ALANINA +  ARGININA +  CLORETO DE CÁLCIO DI-HIDRATADO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE POTÁSSIO +  FENILALAMINA +  GLICEROFOSFATO DE SÓDIO +  GLICINA +  GLICOSE MONOHIDRATADA +  GLICOSE MONOIDRATADA +  HISTIDINA +  ISOLEUCINA +  LEUCINA +  LEVOVALINA +  PROLINA +  SERINA +  | Classe Terapeutica: REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL | Categoria: Outros | Produtos Comerciais: OLIMEL | Total de Produtos: 1,Acetato De Lisina Acetato De Sodio Tri-Hidratado Acetato De Sodio Trihidratado Alanina Arginina Cloreto De Calcio Di-Hidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Fenilalamina Glicerofosfato De Sodio Glicina Glicose Monohidratada Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Prolina Serina - Outros
Acetato De Lisina Acetato De Sodio Trihidratado Alanina Arginina Cloreto De Potassio Fenilalanina Glicerofosfato De Sodio Glicerol Glicina Glicose Monohidratada Histidina Isoleucina Leucina Levovalina Prolina Serina Sulfato De Magnesio Heptaidratado Taurina Tirosina Treonina Triglicerideos De Cadeia Media Triptofano,Outros,1,SMOFKABIVEN,49324221000104 - FRESENIUS KABI BRASIL LTDA,baixa,baixa,Medicamento: Acetato De Lisina Acetato De Sodio Trihidratado Alanina Arginina Cloreto De Potassio Fenilalanina Glicerofosfato De Sodio Glicerol Glicina Glicose Monohidratada Histidina Isoleucina Leucina Levovalina Prolina Serina Sulfato De Magnesio Heptaidratado Taurina Tirosina Treonina Triglicerideos De Cadeia Media Triptofano | Principio Ativo: ACETATO DE LISINA +  ACETATO DE SÓDIO TRIHIDRATADO +  ALANINA +  ARGININA +  CLORETO DE POTÁSSIO +  FENILALANINA +  GLICEROFOSFATO DE SÓDIO +  GLICEROL +  GLICINA +  GLICOSE MONOHIDRATADA +  HISTIDINA +  ISOLEUCINA +  LEUCINA +  LEVOVALINA +  PROLINA +  SERINA +  SULFATO DE MAGNÉSIO HEPTAIDRATADO +  TAURINA +  TIROSINA +  TREONINA +  TRIGLICERÍDEOS DE CADEIA MÉDIA +  TRIPTOFANO | Classe Terapeutica: NUTRIENTES PARENTERAIS | Categoria: Outros | Produtos Comerciais: SMOFKABIVEN | Total de Produtos: 1,Acetato De Lisina Acetato De Sodio Trihidratado Alanina Arginina Cloreto De Potassio Fenilalanina Glicerofosfato De Sodio Glicerol Glicina Glicose Monohidratada Histidina Isoleucina Leucina Levovalina Prolina Serina Sulfato De Magnesio Heptaidratado Taurina Tirosina Treonina Triglicerideos De Cadeia Media Triptofano - Outros
Acetato De Lisina Acetilcisteina Acetiltirosina Alanina Arginina Fenilalanina Glicina Histidina Isoleucina L-Metionina Leucina Levovalina Prolina Serina Taurina Treonina Triptofano Acido Malico,Outros,1,Aminoven 10% Infant,49324221000104 - FRESENIUS KABI BRASIL LTDA,baixa,baixa,Medicamento: Acetato De Lisina Acetilcisteina Acetiltirosina Alanina Arginina Fenilalanina Glicina Histidina Isoleucina L-Metionina Leucina Levovalina Prolina Serina Taurina Treonina Triptofano Acido Malico | Principio Ativo: ACETATO DE LISINA +  ACETILCISTEÍNA +  ACETILTIROSINA +  ALANINA +  ARGININA +  FENILALANINA +  GLICINA +  HISTIDINA +  ISOLEUCINA +  L-METIONINA +  LEUCINA +  LEVOVALINA +  PROLINA +  SERINA +  TAURINA +  TREONINA +  TRIPTOFANO +  ÁCIDO MÁLICO | Classe Terapeutica: NUTRIENTES PARENTERAIS | Categoria: Outros | Produtos Comerciais: Aminoven 10% Infant | Total de Produtos: 1,Acetato De Lisina Acetilcisteina Acetiltirosina Alanina Arginina Fenilalanina Glicina Histidina Isoleucina L-Metionina Leucina Levovalina Prolina Serina Taurina Treonina Triptofano Acido Malico - Outros
Acetato De Lisina Acetilcisteina Alanina Arginina Fenilalamina Glicina Histidina Isoleucina Leucina Levovalina Prolina Serina Treonina Triptofano Metionina (11 C),Outros,1,AMINOSTERIL N-HEPA 8%,49324221000104 - FRESENIUS KABI BRASIL LTDA,baixa,baixa,Medicamento: Acetato De Lisina Acetilcisteina Alanina Arginina Fenilalamina Glicina Histidina Isoleucina Leucina Levovalina Prolina Serina Treonina Triptofano Metionina (11 C) | Principio Ativo: ACETATO DE LISINA +  ACETILCISTEÍNA +  ALANINA +  ARGININA +  FENILALAMINA +  GLICINA +  HISTIDINA +  ISOLEUCINA +  LEUCINA +  LEVOVALINA +  PROLINA +  SERINA +  TREONINA +  TRIPTOFANO +  METIONINA (11 C) | Classe Terapeutica: NUTRIENTES PARENTERAIS | Categoria: Outros | Produtos Comerciais: AMINOSTERIL N-HEPA 8% | Total de Produtos: 1,Acetato De Lisina Acetilcisteina Alanina Arginina Fenilalamina Glicina Histidina Isoleucina Leucina Levovalina Prolina Serina Treonina Triptofano Metionina (11 C) - Outros
Acetato De Lisina Alanina Arginina Fenilalanina Glicina Glicose Monohidratada Histidina Isoleucina Leucina Levovalina Prolina Serina Taurina Tirosina Treonina Triglicerideos Cadeia Media Triptofano Metionina (11 C) Oleo De Oliva Oleo De Peixe Oleo De Soja,Outros,1,SMOFKABIVEN LIVRE DE ELETRÓLITOS,49324221000104 - FRESENIUS KABI BRASIL LTDA,baixa,baixa,Medicamento: Acetato De Lisina Alanina Arginina Fenilalanina Glicina Glicose Monohidratada Histidina Isoleucina Leucina Levovalina Prolina Serina Taurina Tirosina Treonina Triglicerideos Cadeia Media Triptofano Metionina (11 C) Oleo De Oliva Oleo De Peixe Oleo De Soja | Principio Ativo: ACETATO DE LISINA +  ALANINA +  ARGININA +  FENILALANINA +  GLICINA +  GLICOSE MONOHIDRATADA +  HISTIDINA +  ISOLEUCINA +  LEUCINA +  LEVOVALINA +  PROLINA +  SERINA +  TAURINA +  TIROSINA +  TREONINA +  TRIGLICERÍDEOS CADEIA MÉDIA +  TRIPTOFANO +  METIONINA (11 C) +  ÓLEO DE OLIVA +  ÓLEO DE PEIXE +  ÓLEO DE SOJA | Classe Terapeutica: NUTRIENTES PARENTERAIS | Categoria: Outros | Produtos Comerciais: SMOFKABIVEN LIVRE DE ELETRÓLITOS | Total de Produtos: 1,Acetato De Lisina Alanina Arginina Fenilalanina Glicina Glicose Monohidratada Histidina Isoleucina Leucina Levovalina Prolina Serina Taurina Tirosina Treonina Triglicerideos Cadeia Media Triptofano Metionina (11 C) Oleo De Oliva Oleo De Peixe Oleo De Soja - Outros
Acetato De Lisina Alanina Arginina Fenilalanina Glicina Histidina Isoleucina L-Alanina L-Fenilalanina L-Histidina L-Isoleucina L-Leucina L-Metionina L-Prolina L-Serina L-Treonina L-Triptofano Leucina Levovalina Prolina Serina Taurina Tirosina Treonina Triptofano,Outros,1,AMINOVEN,49324221000104 - FRESENIUS KABI BRASIL LTDA,baixa,baixa,Medicamento: Acetato De Lisina Alanina Arginina Fenilalanina Glicina Histidina Isoleucina L-Alanina L-Fenilalanina L-Histidina L-Isoleucina L-Leucina L-Metionina L-Prolina L-Serina L-Treonina L-Triptofano Leucina Levovalina Prolina Serina Taurina Tirosina Treonina Triptofano | Principio Ativo: ACETATO DE LISINA +  ALANINA +  ARGININA +  FENILALANINA +  GLICINA +  HISTIDINA +  ISOLEUCINA +  L-ALANINA +  L-FENILALANINA +  L-HISTIDINA +  L-ISOLEUCINA +  L-LEUCINA +  L-METIONINA +  L-PROLINA +  L-SERINA +  L-TREONINA +  L-TRIPTOFANO +  LEUCINA +  LEVOVALINA +  PROLINA +  SERINA +  TAURINA +  TIROSINA +  TREONINA +  TRIPTOFANO | Classe Terapeutica: NUTRIENTES PARENTERAIS | Categoria: Outros | Produtos Comerciais: AMINOVEN | Total de Produtos: 1,Acetato De Lisina Alanina Arginina Fenilalanina Glicina Histidina Isoleucina L-Alanina L-Fenilalanina L-Histidina L-Isoleucina L-Leucina L-Metionina L-Prolina L-Serina L-Treonina L-Triptofano Leucina Levovalina Prolina Serina Taurina Tirosina Treonina Triptofano - Outros
Acetato De Lisina Alanina Arginina Fenilalanina Glicina Histidina Isoleucina Leucina Lisina Prolina Serina Tirosina Treonina Triptofano Valina Levometionina Metionina (11 C) Acido Aspartico Acido Glutamico,Outros,1,AMIXAL,31673254000102 - LABORATÓRIOS B. BRAUN S/A,baixa,baixa,Medicamento: Acetato De Lisina Alanina Arginina Fenilalanina Glicina Histidina Isoleucina Leucina Lisina Prolina Serina Tirosina Treonina Triptofano Valina Levometionina Metionina (11 C) Acido Aspartico Acido Glutamico | Principio Ativo: ACETATO DE LISINA +  ALANINA +  ARGININA +  FENILALANINA +  GLICINA +  HISTIDINA +  ISOLEUCINA +  LEUCINA +  LISINA +  PROLINA +  SERINA +  TIROSINA +  TREONINA +  TRIPTOFANO +  VALINA +  LEVOMETIONINA +  METIONINA (11 C) +  ÁCIDO ASPÁRTICO +  ÁCIDO GLUTÂMICO | Classe Terapeutica: NUTRIENTES PARENTERAIS | Categoria: Outros | Produtos Comerciais: AMIXAL | Total de Produtos: 1,Acetato De Lisina Alanina Arginina Fenilalanina Glicina Histidina Isoleucina Leucina Lisina Prolina Serina Tirosina Treonina Triptofano Valina Levometionina Metionina (11 C) Acido Aspartico Acido Glutamico - Outros
Acetato De Lisina Alfaoxofenilpropionato De Calcio Histidina Racealfa-Hidroxigamametiltiobutanoato De Calcio Racealfaoxobetametilbutanoato De Calcio Racealfaoxobetametilpentanoato De Calcio Racealfaoxogamametilpentanoato De Calcio Tirosina Treonina Triptofano,Outros,1,KETOSTERIL,49324221000104 - FRESENIUS KABI BRASIL LTDA,baixa,baixa,Medicamento: Acetato De Lisina Alfaoxofenilpropionato De Calcio Histidina Racealfa-Hidroxigamametiltiobutanoato De Calcio Racealfaoxobetametilbutanoato De Calcio Racealfaoxobetametilpentanoato De Calcio Racealfaoxogamametilpentanoato De Calcio Tirosina Treonina Triptofano | Principio Ativo: ACETATO DE LISINA +  ALFAOXOFENILPROPIONATO DE CÁLCIO +  HISTIDINA +  RACEALFA-HIDROXIGAMAMETILTIOBUTANOATO DE CÁLCIO +  RACEALFAOXOBETAMETILBUTANOATO DE CÁLCIO +  RACEALFAOXOBETAMETILPENTANOATO DE CÁLCIO +  RACEALFAOXOGAMAMETILPENTANOATO DE CÁLCIO +  TIROSINA +  TREONINA +  TRIPTOFANO | Classe Terapeutica: PRODUTOS PARA DIETAS ESPECIAIS | Categoria: Outros | Produtos Comerciais: KETOSTERIL | Total de Produtos: 1,Acetato De Lisina Alfaoxofenilpropionato De Calcio Histidina Racealfa-Hidroxigamametiltiobutanoato De Calcio Racealfaoxobetametilbutanoato De Calcio Racealfaoxobetametilpentanoato De Calcio Racealfaoxogamametilpentanoato De Calcio Tirosina Treonina Triptofano - Outros
Acetato De Lisina Glicina L-Alanina L-Arginina L-Fenilalanina L-Histidina L-Isoleucina L-Leucina L-Metionina L-Prolina L-Serina L-Tirosina L-Treonina L-Triptofano Levovalina N-Acetil Cisteina Gliciltirosina,Outros,1,NEPHROTECT,49324221000104 - FRESENIUS KABI BRASIL LTDA,baixa,baixa,Medicamento: Acetato De Lisina Glicina L-Alanina L-Arginina L-Fenilalanina L-Histidina L-Isoleucina L-Leucina L-Metionina L-Prolina L-Serina L-Tirosina L-Treonina L-Triptofano Levovalina N-Acetil Cisteina Gliciltirosina | Principio Ativo: ACETATO DE LISINA +  GLICINA +  L-ALANINA +  L-ARGININA +  L-FENILALANINA +  L-HISTIDINA +  L-ISOLEUCINA +  L-LEUCINA +  L-METIONINA +  L-PROLINA +  L-SERINA +  L-TIROSINA +  L-TREONINA +  L-TRIPTOFANO +  LEVOVALINA +  N-ACETIL CISTEÍNA +  GLICILTIROSINA | Classe Terapeutica: NUTRIENTES PARENTERAIS | Categoria: Outros | Produtos Comerciais: NEPHROTECT | Total de Produtos: 1,Acetato De Lisina Glicina L-Alanina L-Arginina L-Fenilalanina L-Histidina L-Isoleucina L-Leucina L-Metionina L-Prolina L-Serina L-Tirosina L-Treonina L-Triptofano Levovalina N-Acetil Cisteina Gliciltirosina - Outros
Acetato De Magnesio Tetraidratado Acetato De Potassio Acetato De Sodio Triidratado Acetato De Zinco Alanina Arginina Cloreto De Sodio Cloridrato De Histidina Monoidratado Cloridrato De Lisina Fenilalanina Fosfato Diidrogenado De Sodio Glicose Monohidratada Glicose Monoidratada Hidroxido De Sodio Hidroxido De Sodio Isoleucina Leuci,Outros,1,NUTRIFLEX LIPID,31673254000102 - LABORATÓRIOS B. BRAUN S/A,baixa,baixa,Medicamento: Acetato De Magnesio Tetraidratado Acetato De Potassio Acetato De Sodio Triidratado Acetato De Zinco Alanina Arginina Cloreto De Sodio Cloridrato De Histidina Monoidratado Cloridrato De Lisina Fenilalanina Fosfato Diidrogenado De Sodio Glicose Monohidratada Glicose Monoidratada Hidroxido De Sodio Hidroxido De Sodio Isoleucina Leuci | Principio Ativo: ACETATO DE MAGNÉSIO TETRAIDRATADO +  ACETATO DE POTÁSSIO +  ACETATO DE SÓDIO TRIIDRATADO +  ACETATO DE ZINCO +  ALANINA +  ARGININA +  CLORETO DE SÓDIO +  CLORIDRATO DE HISTIDINA MONOIDRATADO +  CLORIDRATO DE LISINA +  FENILALANINA +  FOSFATO DIIDROGENADO DE SÓDIO +  GLICOSE MONOHIDRATADA +  GLICOSE MONOIDRATADA +  HIDROXIDO DE SODIO +  HIDRÓXIDO DE SÓDIO +  ISOLEUCINA +  LEUCI | Classe Terapeutica: NUTRIENTES PARENTERAIS | Categoria: Outros | Produtos Comerciais: NUTRIFLEX LIPID | Total de Produtos: 1,Acetato De Magnesio Tetraidratado Acetato De Potassio Acetato De Sodio Triidratado Acetato De Zinco Alanina Arginina Cloreto De Sodio Cloridrato De Histidina Monoidratado Cloridrato De Lisina Fenilalanina Fosfato Diidrogenado De Sodio Glicose Monohidratada Glicose Monoidratada Hidroxido De Sodio Hidroxido De Sodio Isoleucina Leuci - Outros
Acetato De Magnesio Tetraidratado Acetato De Potassio Alanina Arginina Cisteina Cloreto De Sodio Cloridrato De Ornitina Fenilalanina Glicerofosfato De Sodio Glicina Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Lisina Prolina Serina Taurina Tirosina Treonina Triptofano Cloreto De Calcio Diidratado,Não Classificado,1,NUMETA PED,49351786000261 - BAXTER HOSPITALAR LTDA,baixa,baixa,Medicamento: Acetato De Magnesio Tetraidratado Acetato De Potassio Alanina Arginina Cisteina Cloreto De Sodio Cloridrato De Ornitina Fenilalanina Glicerofosfato De Sodio Glicina Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Lisina Prolina Serina Taurina Tirosina Treonina Triptofano Cloreto De Calcio Diidratado | Principio Ativo: ACETATO DE MAGNÉSIO TETRAIDRATADO +  ACETATO DE POTÁSSIO +  ALANINA +  ARGININA +  CISTEÍNA +  CLORETO DE SÓDIO +  CLORIDRATO DE ORNITINA +  FENILALANINA +  GLICEROFOSFATO DE SÓDIO +  GLICINA +  GLICOSE MONOIDRATADA +  HISTIDINA +  ISOLEUCINA +  LEUCINA +  LEVOVALINA +  LISINA +  PROLINA +  SERINA +  TAURINA +  TIROSINA +  TREONINA +  TRIPTOFANO +  CLORETO DE CÁLCIO DIIDRATADO  | Classe Terapeutica: None | Categoria: Não Classificado | Produtos Comerciais: NUMETA PED | Total de Produtos: 1,Acetato De Magnesio Tetraidratado Acetato De Potassio Alanina Arginina Cisteina Cloreto De Sodio Cloridrato De Ornitina Fenilalanina Glicerofosfato De Sodio Glicina Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Lisina Prolina Serina Taurina Tirosina Treonina Triptofano Cloreto De Calcio Diidratado - Não Classificado
Acetato De Magnesio Tetraidratado Acetato De Potassio Alanina Arginina Cisteina Cloridrato De Ornitina Fenilalanina Glicerofosfato De Sodio Glicina Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Lisina Prolina Serina Taurina Tirosina Treonina Triptofano Cloreto De Calcio Diidratado Levometionina,Não Classificado,1,Numeta Neo,49351786000261 - BAXTER HOSPITALAR LTDA,baixa,baixa,Medicamento: Acetato De Magnesio Tetraidratado Acetato De Potassio Alanina Arginina Cisteina Cloridrato De Ornitina Fenilalanina Glicerofosfato De Sodio Glicina Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Lisina Prolina Serina Taurina Tirosina Treonina Triptofano Cloreto De Calcio Diidratado Levometionina | Principio Ativo: ACETATO DE MAGNÉSIO TETRAIDRATADO +  ACETATO DE POTÁSSIO +  ALANINA +  ARGININA +  CISTEÍNA +  CLORIDRATO DE ORNITINA +  FENILALANINA +  GLICEROFOSFATO DE SÓDIO +  GLICINA +  GLICOSE MONOIDRATADA +  HISTIDINA +  ISOLEUCINA +  LEUCINA +  LEVOVALINA +  LISINA +  PROLINA +  SERINA +  TAURINA +  TIROSINA +  TREONINA +  TRIPTOFANO +  CLORETO DE CÁLCIO DIIDRATADO +  LEVOMETIONINA +   | Classe Terapeutica: None | Categoria: Não Classificado | Produtos Comerciais: Numeta Neo | Total de Produtos: 1,Acetato De Magnesio Tetraidratado Acetato De Potassio Alanina Arginina Cisteina Cloridrato De Ornitina Fenilalanina Glicerofosfato De Sodio Glicina Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Lisina Prolina Serina Taurina Tirosina Treonina Triptofano Cloreto De Calcio Diidratado Levometionina - Não Classificado
Acetato De Magnesio Tetraidratado Acetato De Sodio Trihidratado Alanina Arginina Monoglutamato Cloridrato De Histidina Monoidratado Cloridrato De Lisina Fenilalanina Fosfato Diidrogenado De Sodio Glicina Glicose Monohidratada Hidroxido De Potassio Hidroxido De Sodio Isoleucina Leucina Levovalina Prolina Serina Treonina Tript,Outros,1,NUTRIFLEX PLUS,31673254000102 - LABORATÓRIOS B. BRAUN S/A,baixa,baixa,Medicamento: Acetato De Magnesio Tetraidratado Acetato De Sodio Trihidratado Alanina Arginina Monoglutamato Cloridrato De Histidina Monoidratado Cloridrato De Lisina Fenilalanina Fosfato Diidrogenado De Sodio Glicina Glicose Monohidratada Hidroxido De Potassio Hidroxido De Sodio Isoleucina Leucina Levovalina Prolina Serina Treonina Tript | Principio Ativo: ACETATO DE MAGNÉSIO TETRAIDRATADO +  ACETATO DE SÓDIO TRIHIDRATADO +  ALANINA +  ARGININA MONOGLUTAMATO +  CLORIDRATO DE HISTIDINA MONOIDRATADO +  CLORIDRATO DE LISINA +  FENILALANINA +  FOSFATO DIIDROGENADO DE SÓDIO +  GLICINA +  GLICOSE MONOHIDRATADA +  HIDRÓXIDO DE POTÁSSIO +  HIDRÓXIDO DE SÓDIO +  ISOLEUCINA +  LEUCINA +  LEVOVALINA +  PROLINA +  SERINA +  TREONINA +  TRIPT | Classe Terapeutica: NUTRIENTES PARENTERAIS | Categoria: Outros | Produtos Comerciais: NUTRIFLEX PLUS | Total de Produtos: 1,Acetato De Magnesio Tetraidratado Acetato De Sodio Trihidratado Alanina Arginina Monoglutamato Cloridrato De Histidina Monoidratado Cloridrato De Lisina Fenilalanina Fosfato Diidrogenado De Sodio Glicina Glicose Monohidratada Hidroxido De Potassio Hidroxido De Sodio Isoleucina Leucina Levovalina Prolina Serina Treonina Tript - Outros
Acetato De Medroxiprogesterona,Outros,4,CONTRACEP; DEMEDROX; DEPO-PROVERA,45992062000165 - GERMED FARMACEUTICA LTDA; 60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A; 61072393000133 - WYETH INDÚSTRIA FARMACÊUTICA LTDA,baixa,media,Medicamento: Acetato De Medroxiprogesterona | Principio Ativo: ACETATO DE MEDROXIPROGESTERONA | Classe Terapeutica: PROGESTAGENOS SIMPLES | Categoria: Outros | Produtos Comerciais: CONTRACEP; DEMEDROX; DEPO-PROVERA | Total de Produtos: 4,Acetato De Medroxiprogesterona - Outros
Acetato De Medroxiprogesterona Cipionato De Estradiol,Outros,3,CYCLOFEMINA; LYNDAVELUNO; acetato de medroxiprogesterona +cipionato de estradiol,30332829000152 - HEMAFARMA COM. E IND. FARM. LTDA,baixa,media,Medicamento: Acetato De Medroxiprogesterona Cipionato De Estradiol | Principio Ativo: ACETATO DE MEDROXIPROGESTERONA +  CIPIONATO DE ESTRADIOL | Classe Terapeutica: ANTICONCEPCIONAIS | Categoria: Outros | Produtos Comerciais: CYCLOFEMINA; LYNDAVELUNO; acetato de medroxiprogesterona +cipionato de estradiol | Total de Produtos: 3,Acetato De Medroxiprogesterona Cipionato De Estradiol - Outros
Acetato De Medroxiprogesterona Estrogenios Conjugados,Outros,1,ESTROGENIOS CONJUGADOS + ACETATO DE MEDROXIPROGESTERONA,61517397000188 - THERASKIN FARMACEUTICA LTDA.,baixa,baixa,Medicamento: Acetato De Medroxiprogesterona Estrogenios Conjugados | Principio Ativo: ACETATO DE MEDROXIPROGESTERONA +  ESTROGÊNIOS CONJUGADOS | Classe Terapeutica: ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS | Categoria: Outros | Produtos Comerciais: ESTROGENIOS CONJUGADOS + ACETATO DE MEDROXIPROGESTERONA | Total de Produtos: 1,Acetato De Medroxiprogesterona Estrogenios Conjugados - Outros
